,movieId,tag,dark,funny,ferell
587,48698,church,5,5,6
587,48698,is,4,5,6
587,48698,the,4,5,5
587,48698,most,4,5,6
587,48698,corrupt,6,7,6
587,48698,organization,11,11,12
587,48698,in,4,4,6
587,48698,history,6,6,7
588,64034,childish,7,8,8
588,64034,naivity,6,6,7
589,64034,friendship,9,8,8
590,68954,adventure,7,8,8
591,68954,Bechdel,7,7,5
591,68954,Test:Fail,8,9,7
592,68954,cartoon,5,7,6
593,68954,children,7,8,7
594,68954,computer,8,7,8
594,68954,animation,8,9,9
595,68954,divorce,5,7,7
596,68954,dogs,3,5,6
597,68954,dreams,4,6,5
598,68954,Pixar,4,5,6
599,71494,Narrative,7,9,8
599,71494,pisstake,7,8,8
600,81158,american,7,8,6
600,81158,idolatry,5,7,8
601,82459,atmospheric,10,11,10
602,82459,Coen,4,4,5
602,82459,Brothers,7,8,7
603,82459,Jeff,4,5,5
603,82459,Bridges,6,7,7
604,82459,Matt,3,5,6
604,82459,Damon,4,5,6
605,82459,predictable,9,11,9
606,90769,celebrity,8,8,7
606,90769,fetishism,9,8,7
607,90769,mediacentralism,12,14,12
608,90769,system,6,6,6
608,90769,holism,6,6,6
609,96084,city,4,4,6
609,96084,politics,8,8,8
610,96084,italy,4,4,5
611,96084,political,9,9,8
611,96084,right,5,5,6
611,96084,versus,5,6,4
611,96084,left,4,5,5
612,111364,Creature,6,8,7
612,111364,Feature,5,7,6
613,118784,documentary,8,8,10
614,118784,music,5,4,6
614,118784,industry,6,6,8
615,118784,remix,5,5,5
615,118784,culture,6,6,7
616,127172,film,4,4,4
616,127172,history,6,6,7
617,127172,poetic,6,6,6
618,127172,representation,13,13,11
618,127172,of,4,5,6
618,127172,children,7,8,7
619,364,Disney,6,4,6
620,364,Disney,6,4,6
620,364,animated,7,8,8
620,364,feature,5,6,5
621,364,Oscar,4,5,6
621,364,(Best,5,5,5
621,364,Music,5,4,6
621,364,-,4,5,6
621,364,Original,8,7,7
621,364,Score),5,6,5
622,1288,music,5,4,6
623,1923,Ben,4,4,5
623,1923,Stiller,7,7,6
624,2616,comic,5,5,6
624,2616,book,3,5,6
625,3481,music,5,4,6
626,3897,music,5,4,6
627,8641,awesome,7,7,6
628,51255,british,7,7,7
628,51255,comedy,6,5,5
629,1,pixar,4,5,6
630,153,superhero,8,8,6
631,552,knights,7,7,7
632,1246,highschool,10,10,9
633,32587,cult,4,4,5
634,33660,boksdrama,7,9,8
635,34162,stiller,7,7,6
636,36529,wapendrama,8,9,8
637,37729,animation,8,9,9
638,38798,sisters,6,7,6
639,260,ROBOTS,6,6,6
639,260,AND,4,5,6
639,260,ANDROIDS,8,8,8
640,260,space,4,5,6
641,2146,post-college,12,12,10
642,37384,restaurant,8,8,8
643,40955,transvestite,11,11,11
644,44889,satire,4,6,6
645,61323,dark,0,5,5
645,61323,comedy,6,5,5
646,39,chick,4,5,6
646,39,flick,4,4,5
647,39,funny,5,0,5
648,39,Paul,3,5,5
648,39,Rudd,4,4,6
649,39,quotable,7,7,7
650,39,seen,4,4,4
650,39,more,3,5,4
650,39,than,4,4,6
650,39,once,4,4,5
651,1059,Amazing,6,6,7
651,1059,Cinematography,12,12,12
652,1059,Leonardo,6,7,7
652,1059,DiCaprio,6,8,8
653,1059,shakespeare,9,11,9
654,1059,updated,5,7,7
654,1059,classics,7,8,8
655,2762,Atmospheric,10,11,10
656,2762,Bruce,5,5,5
656,2762,Willis,6,6,6
657,2762,ghosts,6,6,6
658,2762,imdb,4,5,6
658,2762,top,4,5,6
658,2762,250,4,5,6
659,2762,mindfuck,6,7,8
660,2762,stylized,8,8,8
661,2762,twist,5,5,6
661,2762,ending,5,5,6
662,4370,android(s)/cyborg(s),18,19,19
663,4370,artificial,9,9,8
663,4370,intelligence,12,11,9
664,4370,Bittersweet,10,11,8
665,4370,Steven,6,6,5
665,4370,Spielberg,8,9,7
666,5464,cinematography,12,12,12
667,5464,Tom,4,5,6
667,5464,Hanks,3,4,6
668,7078,Bette,5,5,5
668,7078,Davis,4,5,6
669,7078,Oscar,4,5,6
669,7078,(Best,5,5,5
669,7078,Actress),7,8,6
670,7444,Mark,1,5,5
670,7444,Ruffalo,6,6,6
671,7451,clever,6,6,5
672,7451,High,4,5,6
672,7451,School,6,6,5
673,7451,lesbian,7,7,6
673,7451,subtext,7,6,6
674,48516,Leonardo,6,7,7
674,48516,DiCaprio,6,8,8
675,48516,suspense,8,6,7
676,48516,twist,5,5,6
676,48516,ending,5,5,6
677,48516,undercover,8,9,8
677,48516,cop,4,5,6
678,54997,Christian,8,9,8
678,54997,Bale,3,5,5
679,55290,Casey,4,4,5
679,55290,Affleck,6,6,5
680,55290,great,5,5,4
680,55290,performances,11,10,10
681,55290,twist,5,5,6
682,91500,ending,5,5,6
683,91529,Anne,4,3,5
683,91529,Hathaway,7,7,8
684,91529,Christian,8,9,8
684,91529,Bale,3,5,5
685,91529,Christopher,10,11,10
685,91529,Nolan,5,5,6
686,91529,comic,5,5,6
686,91529,book,3,5,6
687,91529,great,5,5,4
687,91529,ending,5,5,6
688,91529,Morgan,5,6,5
688,91529,Freeman,7,7,6
689,91529,political,9,9,8
689,91529,commentary,8,8,9
690,91529,superhero,8,8,6
691,98961,Afghanistan,10,9,10
692,98961,American,7,8,6
692,98961,propaganda,9,9,10
693,98961,assassination,12,12,13
694,98961,military,6,7,8
695,98961,terrorism,8,9,7
696,32,time,4,5,5
696,32,travel,5,6,5
697,47,mystery,6,6,6
698,47,twist,5,5,6
698,47,ending,5,5,6
699,50,mindfuck,6,7,8
700,50,suspense,8,6,7
701,50,thriller,7,8,5
702,50,tricky,5,5,6
703,50,twist,5,5,6
703,50,ending,5,5,6
704,147,addiction,8,9,9
705,147,heroin,5,6,4
706,147,Leonardo,6,7,7
706,147,DiCaprio,6,8,8
707,147,Mark,1,5,5
707,147,Wahlberg,6,8,7
708,175,controversial,12,12,10
709,175,New,4,5,5
709,175,York,2,5,5
709,175,City,4,4,6
710,175,Nudity,5,4,6
710,175,(Full,5,5,4
710,175,Frontal),7,7,7
711,223,cynical,7,6,6
712,223,hilarious,7,9,8
713,223,independent,10,9,9
713,223,film,4,4,4
714,223,quirky,4,4,6
715,223,witty,5,4,6
718,260,space,4,5,6
718,260,adventure,7,8,8
720,288,brutality,8,7,8
721,288,controversial,12,12,10
722,288,dark,0,5,5
722,288,comedy,6,5,5
723,288,psychedelic,10,11,8
724,288,satire,4,6,6
725,288,stylized,8,8,8
726,296,cult,4,4,5
726,296,film,4,4,4
727,296,drugs,4,5,5
728,296,Quentin,7,5,6
728,296,Tarantino,7,7,8
729,296,Tarantino,7,7,8
730,364,soundtrack,7,8,9
731,527,thought-provoking,15,15,16
732,541,sci-fi,6,6,6
733,589,apocalypse,9,9,9
734,589,Arnold,6,5,5
734,589,Schwarzenegger,12,13,12
735,589,nuclear,6,6,6
735,589,war,2,5,5
736,589,sci-fi,6,6,6
737,589,Suspense,8,6,7
738,589,time,4,5,5
738,589,travel,5,6,5
739,608,based,4,5,5
739,608,on,4,4,6
739,608,a,3,5,6
739,608,true,4,5,5
739,608,story,4,4,6
740,608,dark,0,5,5
740,608,comedy,6,5,5
741,608,KIDNAPPING,10,10,10
742,608,Steve,5,5,5
742,608,Buscemi,7,6,6
743,628,edward,3,6,6
743,628,norton,5,6,5
744,628,psychology,10,9,9
745,628,suspense,8,6,7
746,628,thought-provoking,15,15,16
747,628,twist,5,5,6
747,628,ending,5,5,6
748,1089,ensemble,8,8,6
748,1089,cast,3,5,6
749,1089,nonlinear,8,7,8
750,1089,Quentin,7,5,6
750,1089,Tarantino,7,7,8
751,1089,stylized,8,8,8
752,1120,freedom,7,6,5
752,1120,of,4,5,6
752,1120,expression,9,10,8
753,1136,british,7,7,7
753,1136,comedy,6,5,5
754,1136,Monty,5,3,6
754,1136,Python,6,6,6
755,1193,emotional,9,8,8
756,1193,jack,2,5,6
756,1193,nicholson,9,9,8
757,1198,adventure,7,8,8
758,1198,archaeology,10,10,9
759,1198,indiana,5,6,7
759,1198,jones,5,4,5
760,1198,Steven,6,6,5
760,1198,Spielberg,8,9,7
761,1198,treasure,6,8,7
761,1198,hunt,4,3,6
762,1200,action,6,6,6
763,1200,aliens,6,5,5
764,1200,horror,5,6,5
765,1200,sci-fi,6,6,6
766,1200,space,4,5,6
767,1200,space,4,5,6
767,1200,craft,4,5,5
768,1200,SPACE,5,5,6
768,1200,TRAVEL,6,6,6
769,1200,suspense,8,6,7
770,1219,Alfred,5,6,5
770,1219,Hitchcock,8,9,9
771,1219,psychology,10,9,9
772,1219,suspenseful,11,9,8
773,1219,tense,5,4,5
774,1240,Action,6,6,6
775,1240,artificial,9,9,8
775,1240,intelligence,12,11,9
776,1240,robots,6,6,6
777,1240,Sci-Fi,6,6,6
778,1240,special,7,7,5
778,1240,effects,7,6,6
779,1240,tense,5,4,5
780,1240,time,4,5,5
780,1240,travel,5,6,5
781,1258,atmospheric,10,11,10
782,1258,disturbing,8,8,9
783,1258,Horror,5,6,5
784,1258,jack,2,5,6
784,1258,nicholson,9,9,8
785,1258,masterpiece,9,11,8
786,1258,psychological,13,13,11
787,1258,Stanley,6,5,6
787,1258,Kubrick,5,6,6
788,1258,suspense,8,6,7
789,1343,horror,5,6,5
790,1343,Juliette,8,7,7
790,1343,Lewis,5,5,5
791,1343,Martin,4,6,5
791,1343,Scorsese,7,8,6
792,1343,Robert,5,6,5
792,1343,De,4,5,5
792,1343,Niro,3,5,5
793,1625,mindfuck,6,7,8
794,1625,Mystery,6,6,6
795,1625,plot,4,5,6
795,1625,twist,5,5,6
796,1625,psychological,13,13,11
797,1625,suspense,8,6,7
798,1625,twist,5,5,6
798,1625,ending,5,5,6
799,1704,inspirational,12,12,11
800,1921,hallucinatory,11,10,13
801,1921,mental,6,5,4
801,1921,illness,7,6,6
802,1921,mindfuck,6,7,8
803,1921,paranoid,6,7,7
805,1923,crude,5,5,5
805,1923,humor,5,4,6
806,1923,goofy,5,4,6
807,2160,Atmospheric,10,11,10
808,2160,creepy,6,5,5
809,2160,paranoia,6,7,7
810,2160,scary,3,4,6
811,2160,suspense,8,6,7
812,2296,SNL,4,5,6
813,2329,thought-provoking,15,15,16
814,2505,Nicolas,7,7,6
814,2505,Cage,3,5,5
815,2571,martial,5,7,5
815,2571,arts,3,5,5
816,2571,sci-fi,6,6,6
817,2700,adult,4,5,5
817,2700,humor,5,4,6
818,2700,controversial,12,12,10
819,2700,crude,5,5,5
819,2700,humor,5,4,6
820,2700,free,4,4,3
820,2700,speech,6,6,5
821,2700,parody,4,5,5
822,2700,satire,4,6,6
823,2700,south,5,5,6
823,2700,park,1,5,5
824,2700,Trey,4,4,4
824,2700,Parker,3,6,5
825,2959,dark,0,5,5
825,2959,comedy,6,5,5
826,2959,psychology,10,9,9
827,2959,thought-provoking,15,15,16
828,2959,twist,5,5,6
828,2959,ending,5,5,6
829,3176,based,4,5,5
829,3176,on,4,4,6
829,3176,a,3,5,6
829,3176,book,3,5,6
830,3176,creepy,6,5,5
831,3176,disturbing,8,8,9
832,3176,Jude,4,4,5
832,3176,Law,3,5,6
833,3176,murder,5,5,5
834,3176,obsession,9,9,8
835,3176,psychology,10,9,9
836,3176,secrets,6,7,4
837,3176,serial,5,6,3
837,3176,killer,6,6,6
838,3176,suspense,8,6,7
839,3186,asylum,6,6,6
840,3186,based,4,5,5
840,3186,on,4,4,6
840,3186,a,3,5,6
840,3186,true,4,5,5
840,3186,story,4,4,6
841,3186,Brittany,7,6,8
841,3186,Murphy,5,4,5
842,3186,Mental,6,5,4
842,3186,Hospital,8,8,7
843,3186,psychology,10,9,9
844,3186,winona,6,4,6
844,3186,ryder,4,5,5
845,3499,claustrophobic,12,13,13
846,3499,horror,5,6,5
847,3499,scary,3,4,6
848,3499,stephen,7,7,6
848,3499,king,4,4,6
849,3499,suspenseful,11,9,8
850,3499,tense,5,4,5
851,3499,thriller,7,8,5
852,3527,aliens,6,5,5
853,3527,sci-fi,6,6,6
854,3527,scifi,5,5,6
854,3527,cult,4,4,5
855,3911,satire,4,6,6
856,3948,comedy,6,5,5
857,3948,Robert,5,6,5
857,3948,De,4,5,5
857,3948,Niro,3,5,5
858,4226,mystery,6,6,6
859,4226,psychological,13,13,11
861,4262,Al,4,5,5
861,4262,Pacino,5,5,6
862,4816,ben,4,4,5
862,4816,stiller,7,7,6
863,4816,comedy,6,5,5
864,4816,David,4,5,6
864,4816,Bowie,5,5,6
865,4816,goofy,5,4,6
866,4816,mindless,7,7,7
866,4816,one,4,4,5
866,4816,liners,5,5,5
867,4816,Will,4,5,4
867,4816,Ferrell,6,7,2
868,4878,jake,3,5,5
868,4878,gyllenhaal,9,9,8
869,4993,fantasy,6,4,6
870,4993,high,4,5,6
870,4993,fantasy,6,4,6
871,4993,Magic,4,5,6
872,4993,mythology,9,8,8
873,4993,tolkien,6,7,7
874,4993,wizards,5,7,7
875,5291,black,3,5,6
875,5291,and,3,4,6
875,5291,white,5,5,6
876,5291,samurai,5,6,7
877,6016,multiple,8,7,7
877,6016,storylines,9,9,8
878,6016,true,4,5,5
878,6016,story,4,4,6
879,6188,comedy,6,5,5
880,6188,Will,4,5,4
880,6188,Ferrell,6,7,2
881,6290,Rob,4,5,6
881,6290,Zombie,6,6,6
882,7361,jim,4,5,6
882,7361,carrey,4,5,5
883,8641,comedy,6,5,5
885,8950,Christian,8,9,8
885,8950,Bale,3,5,5
886,8950,creepy,6,5,5
887,8950,powerful,7,8,5
887,8950,ending,5,5,6
888,8950,psychology,10,9,9
889,8950,schizophrenia,12,12,11
890,8950,twist,5,5,6
890,8950,ending,5,5,6
891,27020,drugs,4,5,5
892,27020,lesbian,7,7,6
893,30825,Ben,4,4,5
893,30825,Stiller,7,7,6
894,30825,Robert,5,6,5
894,30825,De,4,5,5
894,30825,Niro,3,5,5
895,34323,Rob,4,5,6
895,34323,Zombie,6,6,6
896,40278,Jake,3,5,5
896,40278,Gyllenhaal,9,9,8
897,40278,Modern,4,6,5
897,40278,war,2,5,5
898,48516,atmospheric,10,11,10
899,48516,Jack,2,5,6
899,48516,Nicholson,9,9,8
901,48516,Martin,4,6,5
901,48516,Scorsese,7,8,6
903,53127,based,4,5,5
903,53127,on,4,4,6
903,53127,a,3,5,6
903,53127,play,4,4,6
904,53127,conspiracy,9,8,9
904,53127,theory,5,5,6
905,53127,creepy,6,5,5
906,53127,Insanity,7,6,8
907,53127,paranoia,6,7,7
908,53127,PTSD,4,5,6
911,66097,claymation,9,10,10
912,66097,creepy,6,5,5
913,66097,dark,0,5,5
914,66097,dark,0,5,5
914,66097,fairy,3,3,5
914,66097,tale,3,5,5
915,66097,Surreal,6,6,4
916,66097,Tim,4,5,6
916,66097,Burton,5,5,5
917,68157,black,3,5,6
917,68157,comedy,6,5,5
918,68157,Brad,4,5,5
918,68157,Pitt,4,5,6
919,68157,Christoph,8,9,8
919,68157,Waltz,4,5,6
920,68157,Quentin,7,5,6
920,68157,Tarantino,7,7,8
921,68157,satire,4,6,6
922,74458,insanity,7,6,8
923,74458,Leonardo,6,7,7
923,74458,DiCaprio,6,8,8
924,74458,Martin,4,6,5
924,74458,Scorsese,7,8,6
925,74458,plot,4,5,6
925,74458,twist,5,5,6
926,74458,psychological,13,13,11
927,74458,Psychological,13,13,11
927,74458,Thriller,7,8,5
928,74458,thought-provoking,15,15,16
929,79132,action,6,6,6
930,79132,alternate,8,8,7
930,79132,reality,6,6,6
931,79132,Leonardo,6,7,7
931,79132,DiCaprio,6,8,8
932,79132,sci-fi,6,6,6
933,79132,thought-provoking,15,15,16
934,79132,visually,7,6,6
934,79132,appealing,8,8,7
935,81562,stranded,7,7,7
936,81591,alter,5,5,5
936,81591,ego,4,5,5
937,81591,atmospheric,10,11,10
938,81591,creepy,6,5,5
939,81591,horror,5,6,5
940,81591,obsession,9,9,8
941,81591,surreal,6,6,4
942,102903,illusions,9,7,9
943,102903,overcomplicated,14,15,12
944,102903,predictable,9,11,9
945,102903,stupid,6,5,6
945,102903,ending,5,5,6
946,104879,absorbing,8,8,8
947,104879,acting,6,5,6
948,104879,atmospheric,10,11,10
949,104879,Hugh,4,4,6
949,104879,Jackman,5,7,7
950,104879,Jake,3,5,5
950,104879,Gyllenhaal,9,9,8
951,104879,morality,7,7,6
952,104879,mystery,6,6,6
953,104879,thriller,7,8,5
954,106100,Jared,3,5,4
954,106100,Leto,4,5,5
955,106100,social,6,6,5
955,106100,commentary,8,8,9
956,106100,uplifting,9,7,9
957,106489,fantasy,6,4,6
958,106489,Tolkien,6,7,7
959,106489,too,4,5,6
959,106489,long,4,4,6
960,109487,Christopher,10,11,10
960,109487,Nolan,5,5,6
963,112515,atmospheric,10,11,10
964,112515,dark,0,5,5
965,112515,Metaphorical,10,12,9
966,112515,psychological,13,13,11
967,112556,annoying,8,6,8
968,112556,Stupid,6,5,6
968,112556,ending,5,5,6
969,750,dark,0,5,5
969,750,comedy,6,5,5
971,58559,psychology,10,9,9
972,58559,superhero,8,8,6
973,5952,Myth,4,5,6
974,98809,Action,6,6,6
975,98809,Myth,4,5,6
976,152711,Cambodia,7,8,8
977,152711,crime,5,5,5
978,152711,human,5,4,6
978,152711,rights,6,6,6
979,152711,murder,5,5,5
980,152711,procedural,8,9,8
982,2,game,3,5,5
983,5,pregnancy,8,6,8
984,5,remake,5,6,5
985,7,remake,5,6,5
986,11,politics,8,8,8
987,11,president,8,8,7
988,14,politics,8,8,8
989,14,president,8,8,7
990,16,Mafia,4,5,6
991,17,Jane,3,4,5
991,17,Austen,6,5,6
992,21,Hollywood,9,8,9
993,22,serial,5,6,3
993,22,killer,6,6,6
994,25,alcoholism,10,10,9
995,26,Shakespeare,9,11,9
996,28,In,4,4,6
996,28,Netflix,7,7,5
996,28,queue,5,4,5
997,28,Jane,3,4,5
997,28,Austen,6,5,6
998,29,kidnapping,8,8,10
999,31,high,4,5,6
999,31,school,6,6,5
1000,31,teacher,6,7,6
1002,34,Animal,6,6,5
1002,34,movie,5,5,6
1003,34,pigs,4,5,6
1004,36,death,3,5,5
1004,36,penalty,6,5,5
1005,36,Nun,4,3,6
1006,38,twins,5,4,6
1007,39,Emma,4,5,6
1008,39,Jane,3,4,5
1008,39,Austen,6,5,6
1009,40,In,4,4,6
1009,40,Netflix,7,7,5
1009,40,queue,5,4,5
1010,40,South,5,5,6
1010,40,Africa,5,5,5
1011,41,Shakespeare,9,11,9
1012,43,England,6,6,7
1013,45,Journalism,9,8,8
1014,46,wedding,6,6,6
1015,47,serial,5,6,3
1015,47,killer,6,6,6
1016,50,heist,5,5,5
1017,52,adoption,7,8,8
1018,52,prostitution,12,11,12
1019,58,writing,7,6,7
1020,62,music,5,4,6
1021,92,Jekyll,6,6,3
1021,92,and,3,4,6
1021,92,Hyde,4,5,5
1022,96,theater,6,7,6
1023,101,crime,5,5,5
1024,104,golf,4,5,5
1025,107,muppets,7,6,6
1026,110,Scotland,7,7,7
1027,111,assassination,12,12,13
1028,116,Holocaust,8,9,9
1029,122,dating,4,5,6
1030,140,journalism,9,8,8
1031,150,moon,4,4,6
1032,150,NASA,4,5,6
1033,150,space,4,5,6
1035,160,Michael,6,7,6
1035,160,Crichton,8,8,8
1036,161,submarine,7,7,8
1037,162,In,4,4,6
1037,162,Netflix,7,7,5
1037,162,queue,5,4,5
1038,185,computers,8,8,8
1039,199,Made,3,5,5
1039,199,me,4,5,5
1039,199,cry,3,4,5
1040,215,generation,9,9,8
1040,215,X,4,5,6
1041,216,school,6,6,5
1042,222,Ireland,6,6,5
1043,223,generation,9,9,8
1043,223,X,4,5,6
1044,224,mental,6,5,4
1044,224,illness,7,6,6
1045,224,psychology,10,9,9
1046,230,Stephen,7,7,6
1046,230,King,4,4,6
1047,232,In,4,4,6
1047,232,Netflix,7,7,5
1047,232,queue,5,4,5
1048,235,movie,5,5,6
1048,235,business,8,6,7
1049,237,basketball,8,10,7
1050,237,France,5,5,6
1051,237,infertility,10,9,7
1052,246,basketball,8,10,7
1053,247,Australia,8,8,7
1054,249,Beethoven,9,9,8
1055,252,Einstein,8,7,7
1056,257,court,4,5,6
1057,260,darth,2,5,5
1057,260,vader,4,5,5
1058,260,luke,4,4,5
1058,260,skywalker,7,9,8
1059,260,space,4,5,6
1059,260,opera,4,5,5
1060,261,Louisa,6,5,6
1060,261,May,3,4,6
1060,261,Alcott,6,6,6
1061,262,England,6,6,7
1062,262,Girl,3,5,4
1062,262,Power,5,5,5
1063,262,India,5,5,6
1064,272,England,6,6,7
1065,272,mental,6,5,4
1065,272,illness,7,6,6
1066,277,Christmas,8,9,8
1067,279,In,4,4,6
1067,279,Netflix,7,7,5
1067,279,queue,5,4,5
1068,280,prison,6,6,6
1069,282,disability,8,9,9
1070,282,twins,5,4,6
1071,290,In,4,4,6
1071,290,Netflix,7,7,5
1071,290,queue,5,4,5
1072,293,hit,4,5,6
1072,293,men,4,4,5
1073,296,hit,4,5,6
1073,296,men,4,4,5
1074,300,TV,4,5,6
1075,307,Death,4,5,5
1076,308,marriage,6,8,7
1077,316,time,4,5,5
1077,316,travel,5,6,5
1078,317,Christmas,8,9,8
1079,318,prison,6,6,6
1080,318,Stephen,7,7,6
1080,318,King,4,4,6
1081,318,wrongful,8,7,7
1081,318,imprisonment,11,10,10
1082,326,In,4,4,6
1082,326,Netflix,7,7,5
1082,326,queue,5,4,5
1083,329,Enterprise,9,10,8
1084,337,mental,6,5,4
1084,337,illness,7,6,6
1085,338,serial,5,6,3
1085,338,killer,6,6,6
1086,339,coma,4,5,6
1087,342,Australia,8,8,7
1088,342,weddings,7,7,7
1089,345,cross,5,5,5
1089,345,dressing,7,7,7
1090,345,men,4,4,5
1090,345,in,4,4,6
1090,345,drag,3,5,5
1091,345,remade,5,6,5
1092,349,Tom,4,5,6
1092,349,Clancy,5,4,6
1093,350,John,4,4,6
1093,350,Grisham,7,7,7
1094,351,interracial,10,11,8
1094,351,romance,6,6,7
1095,356,shrimp,5,6,5
1096,356,Vietnam,7,6,6
1097,357,wedding,6,6,6
1098,361,gambling,7,7,7
1099,363,Holocaust,8,9,9
1100,363,In,4,4,6
1100,363,Netflix,7,7,5
1100,363,queue,5,4,5
1102,371,journalism,9,8,8
1103,377,bus,4,4,6
1104,380,spies,5,5,5
1105,381,alcoholism,10,10,9
1106,412,Edith,4,5,6
1106,412,Wharton,5,7,6
1107,421,horses,5,6,5
1108,425,mental,6,5,4
1108,425,illness,7,6,6
1109,425,Oscar,4,5,6
1109,425,(Best,5,5,5
1109,425,Actress),7,8,6
1110,440,President,8,8,7
1111,454,John,4,4,6
1111,454,Grisham,7,7,7
1112,457,based,4,5,5
1112,457,on,4,4,6
1112,457,a,3,5,6
1112,457,TV,4,5,6
1112,457,show,4,5,6
1113,471,hula,4,4,5
1113,471,hoop,4,5,6
1114,474,assassination,12,12,13
1115,475,Ireland,6,6,5
1116,477,biopic,6,6,6
1117,480,Dinosaur,7,7,8
1118,488,Japan,4,5,6
1119,488,sexuality,8,7,7
1120,497,Shakespeare,9,11,9
1121,500,cross,5,5,5
1121,500,dressing,7,7,7
1122,500,divorce,5,7,7
1123,500,men,4,4,5
1123,500,in,4,4,6
1123,500,drag,3,5,5
1124,508,AIDs,4,5,6
1125,513,radio,4,5,6
1126,513,show,4,5,6
1126,513,business,8,6,7
1127,515,Butler,6,5,6
1128,515,Housekeeper,10,10,9
1129,516,military,6,7,8
1130,522,Australia,8,8,7
1131,522,racism,5,6,6
1132,522,violence,8,7,7
1133,524,football,7,7,5
1134,527,Holocaust,8,9,9
1135,529,chess,5,5,5
1136,531,In,4,4,6
1136,531,Netflix,7,7,5
1136,531,queue,5,4,5
1137,534,C.S.,4,5,6
1137,534,Lewis,5,5,5
1138,535,large,3,5,5
1138,535,cast,3,5,6
1139,538,race,3,5,5
1140,539,Empire,5,6,6
1140,539,State,4,5,6
1140,539,Building,7,6,8
1141,541,robots,6,6,6
1142,543,beat,4,5,5
1142,543,poetry,5,5,6
1143,551,Christmas,8,9,8
1144,551,Halloween,8,9,8
1145,556,politics,8,8,8
1146,562,adolescence,10,10,9
1147,586,christmas,8,9,8
1148,587,overrated,8,9,7
1149,588,Disney,6,4,6
1150,589,robots,6,6,6
1151,590,American,7,8,6
1151,590,Indians,5,6,7
1152,590,Native,5,6,6
1152,590,Americans,8,8,7
1153,592,superhero,8,8,6
1154,593,Hannibal,7,6,7
1154,593,Lector,6,6,5
1155,594,Disney,6,4,6
1156,595,Disney,6,4,6
1157,596,Disney,6,4,6
1158,597,prostitution,12,11,12
1159,608,Coen,4,4,5
1159,608,Brothers,7,8,7
1160,616,Disney,6,4,6
1161,628,priest,6,6,5
1162,638,babies,5,6,6
1163,647,Gulf,4,4,5
1163,647,War,2,5,5
1164,648,based,4,5,5
1164,648,on,4,4,6
1164,648,a,3,5,6
1164,648,TV,4,5,6
1164,648,show,4,5,6
1165,668,India,5,5,6
1166,670,India,5,5,6
1167,671,spoof,5,5,6
1168,673,Bugs,4,4,6
1168,673,Bunny,5,1,6
1169,708,Veterinarian,10,11,10
1170,720,Aardman,5,7,6
1171,728,In,4,4,6
1171,728,Netflix,7,7,5
1171,728,queue,5,4,5
1172,733,Alcatraz,6,8,8
1173,736,Disaster,7,8,8
1174,745,Aardman,5,7,6
1175,748,aliens,6,5,5
1176,750,Atomic,6,6,6
1176,750,bomb,4,5,6
1177,778,drug,3,5,5
1177,778,abuse,5,5,6
1178,780,aliens,6,5,5
1179,800,In,4,4,6
1179,800,Netflix,7,7,5
1179,800,queue,5,4,5
1180,805,John,4,4,6
1180,805,Grisham,7,7,7
1181,818,based,4,5,5
1181,818,on,4,4,6
1181,818,a,3,5,6
1181,818,TV,4,5,6
1181,818,show,4,5,6
1182,830,adultery,6,6,7
1183,832,kidnapping,8,8,10
1184,838,Jane,3,4,5
1184,838,Austen,6,5,6
1185,852,golf,4,5,5
1186,858,Mafia,4,5,6
1187,892,Shakespeare,9,11,9
1188,898,divorce,5,7,7
1189,899,movie,5,5,6
1189,899,business,8,6,7
1190,900,France,5,5,6
1191,902,Capote,5,6,6
1192,903,falling,6,5,6
1193,904,voyeurism,8,8,7
1194,905,Screwball,8,9,5
1195,906,Brooch,6,6,6
1196,907,divorce,5,7,7
1197,908,Mount,5,4,6
1197,908,Rushmore,7,7,8
1198,909,adultery,6,6,7
1199,910,men,4,4,5
1199,910,in,4,4,6
1199,910,drag,3,5,5
1200,911,heist,5,5,5
1201,912,start,3,5,6
1201,912,of,4,5,6
1201,912,a,3,5,6
1201,912,beautiful,8,8,7
1201,912,friendship,9,8,8
1202,913,statue,5,6,6
1203,914,George,5,6,5
1203,914,Bernard,5,6,5
1203,914,Shaw,4,5,6
1204,915,rich,4,5,5
1204,915,guy,4,3,6
1204,915,-,4,5,6
1204,915,poor,4,5,6
1204,915,girl,3,5,4
1205,916,Italy,4,4,5
1206,916,royalty,6,6,6
1207,918,1900s,5,5,6
1208,919,Dorothy,6,6,6
1209,919,Toto,4,5,6
1210,920,Civil,5,5,5
1210,920,War,2,5,5
1211,921,television,10,10,8
1212,922,movies,6,6,6
1213,923,Rosebud,7,7,6
1214,924,Hal,3,5,5
1215,924,space,4,5,6
1216,926,Hollywood,9,8,9
1217,927,divorce,5,7,7
1218,928,Mrs.,4,5,5
1218,928,DeWinter,8,7,7
1219,929,Europe,5,5,5
1220,929,journalism,9,8,8
1221,929,war,2,5,5
1222,930,assassination,12,12,13
1223,931,amnesia,7,6,6
1224,934,wedding,6,6,6
1225,936,Cold,4,5,5
1225,936,War,2,5,5
1226,936,Russia,6,5,6
1227,938,prostitution,12,11,12
1228,940,swashbuckler,10,11,11
1229,941,swashbuckler,10,11,11
1230,943,ghosts,6,6,6
1231,944,Shangri-La,8,9,9
